Nome,Descricao,Data_inicial,Data_final,Responsavel,Custo,Status
Lançamento do App,Desenvolvimento e lançamento de um novo aplicativo,10/03/2024,15/06/2024,Lara,"15500.00",Em Execução
Expansão de Mercado,Pesquisa de mercado para expansão internacional,01/02/2024,,Hugo,"2000.00",Concluído
Projeto X,Desenvolvimento de um novo produto,20/04/2024,30/04/2024,Millie,"1200.50",Em Planejamento
Renovação do Site,Redesign e atualização do site da empresa,05/05/2024,30/07/2024,Dimitri,"18520.00",Em Execução
Campanha Publicitária,Lançamento de uma campanha de marketing,15/03/2024,20/05/2024,Stephanie,"10250.80",Concluído
Projeto Y,Implementação de novo sistema de gestão,01/04/2024,31/08/2024,Gabi,"20500.00",Em Execução
Parcerias Estratégicas,Negociação de parcerias com outras empresas,15/02/2024,,Miguel,"8000.50",Em Planejamento
Treinamento de Equipe,Organização de workshops e treinamentos,20/03/2024,30/04/2024,Andre,"5000.20",Concluído
Projeto Z,Lançamento de uma linha de produtos,10/05/2024,30/09/2024,Mario,"3000.00",Em Planejamento
Redes Sociais,Gestão e criação de conteúdo para redes sociais,10/01/2024,05/05/2024,Lucas,"1500.60",Concluído